topic,2020,2021,2022,2023,2024,2025,2026,total_2020_2026
限时进食与代谢健康,6,3,7,16,24,33,11,100
GLP-1、减重与心代谢结局,0,0,3,6,10,29,50,98
表观遗传时钟,2,1,6,6,6,32,38,91
热量限制与人体衰老,5,11,10,13,20,13,10,82
抗阻训练、肌肉与衰弱,3,6,7,8,8,19,31,82
身体活动与健康寿命,7,6,11,6,9,14,25,78
LDL-C/apoB 与心血管风险,6,6,3,5,6,18,31,75
心肺适能与死亡风险,3,8,11,11,12,14,12,71
微生物组与炎症性衰老,4,1,7,7,11,7,34,71
睡眠与健康结局,3,2,8,14,13,11,20,71
饮食模式与死亡风险,11,9,3,11,9,16,10,69
Klotho / IL-11,1,4,5,7,15,20,14,66
血压与健康寿命,7,2,2,3,8,5,35,62
自噬/线粒体自噬,0,0,5,1,5,15,28,54
Senolytics 清除衰老细胞,0,1,0,0,14,14,17,46
NAD/NMN/NR,1,3,9,6,5,8,5,37
雷帕霉素/mTOR 与衰老,4,6,2,4,6,7,6,35
二甲双胍与衰老,5,4,3,1,2,8,3,26
部分重编程,1,1,3,1,4,4,5,19
ITP 小鼠寿命干预,0,0,0,0,0,2,0,2
