target_id,domain,name_zh,name_en,pmid,title,journal,year,publication_types,doi,pmcid,retraction_links,pubmed_url,last_checked
skin-topical-vitamin-c,皮肤外用,外用维C,Topical Vitamin C,22033423,Ameliorative effect of vitamin C on hexavalent chromium-induced delay in sexual maturation and oxidative stress in developing Wistar rat ovary and uterus.,Toxicology and industrial health,2012,Journal Article; Retracted Publication,10.1177/0748233711422728,,RetractionIn:26631163,https://pubmed.ncbi.nlm.nih.gov/22033423/,2026-05-14
skin-sunscreen,皮肤外用,防晒,Sunscreen,30414837,Amelioration of UV radiation-induced photoaging by a combinational sunscreen formulation via aversion of oxidative collagen degradation and promotion of TGF-β-Smad-mediated collagen production.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2019,Journal Article; Retracted Publication,10.1016/j.ejps.2018.11.004,,RetractionIn:35948491,https://pubmed.ncbi.nlm.nih.gov/30414837/,2026-05-14
skin-retinoids,皮肤外用,维A酸/视黄醇,Retinoids,25565812,Formulation and evaluation of a topical niosomal gel containing a combination of benzoyl peroxide and tretinoin for antiacne activity.,International journal of nanomedicine,2015,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't; Retracted Publication",10.2147/IJN.S70449,PMC4283991,RetractionIn:34168452,https://pubmed.ncbi.nlm.nih.gov/25565812/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,39169199,"Nutrient strengthening and lead alleviation in Brassica Napus L. by foliar ZnO and TiO2-NPs modulating antioxidant system, improving photosynthetic efficiency and reducing lead uptake.",Scientific reports,2024,Journal Article; Retracted Publication,10.1038/s41598-024-70204-0,PMC11339315,RetractionIn:41912715,https://pubmed.ncbi.nlm.nih.gov/39169199/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,39101317,Screening and Exploring the Application of the Multifunctional Antioxidant Peptides MSWLC and TSWLC.,Advanced healthcare materials,2024,Journal Article; Retracted Publication,10.1002/adhm.202401932,,RetractionIn:40589269,https://pubmed.ncbi.nlm.nih.gov/39101317/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,38720726,"Nutritional and bioactive properties and antioxidant potential of Amaranthus tricolor, A. lividus, A viridis, and A. spinosus leafy vegetables.",Heliyon,2024,Journal Article; Retracted Publication,10.1016/j.heliyon.2024.e30453,PMC11077029,RetractionIn:41497837,https://pubmed.ncbi.nlm.nih.gov/38720726/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,38169772,"Tetraclinis articulata (Vahl) Mast. essential oil as a promising source of bioactive compounds with antimicrobial, antioxidant, anti-inflammatory and dermatoprotective properties: In vitro and in silico evidence.",Heliyon,2024,Journal Article; Retracted Publication,10.1016/j.heliyon.2023.e23084,PMC10758745,RetractionIn:40535230,https://pubmed.ncbi.nlm.nih.gov/38169772/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,36805894,Quercetin extraction from small onion skin (Allium cepa L. var. aggregatum Don.) and its antioxidant activity.,Environmental research,2023,"Journal Article; Research Support, Non-U.S. Gov't; Retracted Publication",10.1016/j.envres.2023.115497,,RetractionIn:39909745,https://pubmed.ncbi.nlm.nih.gov/36805894/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,35728636,Construction of chitosan-based asymmetric antioxidant and anti-inflammatory repair film for acceleration of wound healing.,International journal of biological macromolecules,2022,Journal Article; Retracted Publication,10.1016/j.ijbiomac.2022.06.103,,RetractionIn:39903987,https://pubmed.ncbi.nlm.nih.gov/35728636/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,35669730,Mitochondrial-Targeted Antioxidant Peptide SS31 Prevents RPE Cell Death under Oxidative Stress.,BioMed research international,2022,Journal Article; Retracted Publication,10.1155/2022/6180349,PMC9167025,RetractionIn:38075312,https://pubmed.ncbi.nlm.nih.gov/35669730/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,35468144,"Melanin pigment of Streptomyces puniceus RHPR9 exhibits antibacterial, antioxidant and anticancer activities.",PloS one,2022,"Journal Article; Research Support, Non-U.S. Gov't; Retracted Publication",10.1371/journal.pone.0266676,PMC9037932,RetractionIn:35921294,https://pubmed.ncbi.nlm.nih.gov/35468144/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,35222807,"Antioxidant, Anticancer, and PXR-Dependent CYP3A4 Attributes of Schweinfurthia papilionacea (Burm.f.) Boiss., Tricholepis glaberrima DC. and Viola stocksii Boiss.",Oxidative medicine and cellular longevity,2022,Journal Article; Retracted Publication,10.1155/2022/9366223,PMC8865984,RetractionIn:38234545,https://pubmed.ncbi.nlm.nih.gov/35222807/,2026-05-14
skin-polyphenols,皮肤外用,多酚/抗氧化剂,Polyphenols,34941898,Efficacy of Zn-Aspartate in comparison with ZnSO4 and L-Aspartate in amelioration of drought stress in maize by modulating antioxidant defence; osmolyte accumulation and photosynthetic attributes.,PloS one,2021,Comparative Study; Journal Article; Retracted Publication,10.1371/journal.pone.0260662,PMC8700056,RetractionIn:36763577,https://pubmed.ncbi.nlm.nih.gov/34941898/,2026-05-14
